objectid,zip_code,po_name,state,borough,st_fips,cty_fips,bld_gpostal_code,shape_leng,shape_area,x_id,geometry
1,11372,Jackson Heights,NY,Queens,36,081,0,20624.6923165,20163283.8744,http://nyc.pediacities.com/Resource/PostalCode/11372,"list(c(-73.8694245728418, -73.8950714324086, -73.8961873786782, -73.8958395418514, -73.895252427744, -73.8965404108556, -73.8957986861383, -73.8965223066143, -73.8722185588248, -73.8716799235679, -73.8720704651389, -73.8694245728418, 40.7491568709679, 40.7464654708121, 40.7485094251809, 40.748546875706, 40.7483066094502, 40.7505419981436, 40.7506197213326, 40.754388796109, 40.7569432480675, 40.753987174396, 40.753862007052, 40.7491568709679))"
2,11004,Glen Oaks,NY,Queens,36,081,0,23002.8160385,22606526.9139,http://nyc.pediacities.com/Resource/PostalCode/11004,"list(c(-73.7106837407401, -73.7086939237995, -73.7071308468417, -73.7041996793636, -73.7021852869823, -73.7030872183073, -73.7009827862555, -73.7137103324691, -73.7156789596889, -73.7186707593958, -73.719661429357, -73.7208288904931, -73.7211780911046, -73.7225062224742, -73.7227044714412, -73.7218361027607, -73.7210928965177, -73.7177534150248, -73.7173095733574, -73.7153460100235, -73.715531030196, -73.7154178153577, -73.7150980617929, -73.7113291112531, -73.7106837407401, 40.7500403945092, 40.7487583655718, 
40.7495827405379, 40.7501695525698, 40.7447418877538, 40.7445472573551, 40.7388956992303, 40.7361747048655, 40.7396291491563, 40.7463149905743, 40.7489452364315, 40.751173028173, 40.7523218922456, 40.7533584708149, 40.7537337143834, 40.7548651313031, 40.7562813418113, 40.7553475594234, 40.7559578299562, 40.7555089333013, 40.7550645807239, 40.7549984440815, 40.7518117707593, 40.7494745081609, 40.7500403945092))"
3,11040,New Hyde Park,NY,Queens,36,081,0,15749.1615105,6269333.41234,http://nyc.pediacities.com/Resource/PostalCode/11040,"list(c(-73.7009827862555, -73.7030872183073, -73.7021852869823, -73.7041996793636, -73.7071308468417, -73.7086939237995, -73.7106837407401, -73.7074997363702, -73.7047754753824, -73.7009310299026, -73.6997444595322, -73.6996045181533, -73.7009827862555, 40.7388956992303, 40.7445472573551, 40.7447418877538, 40.7501695525698, 40.7495827405379, 40.7487583655718, 40.7500403945092, 40.752691975669, 40.755270233046, 40.7528174863434, 40.7423926224676, 40.739594699566, 40.7388956992303))"
4,11426,Bellerose,NY,Queens,36,081,0,35932.8106387,49418364.0577,http://nyc.pediacities.com/Resource/PostalCode/11426,"list(c(-73.7227044714412, -73.7225062224742, -73.7211780911046, -73.7208288904931, -73.719661429357, -73.7186707593958, -73.7156789596889, -73.714741836008, -73.7114780374036, -73.7107482581903, -73.7105049997006, -73.7090558676262, -73.7157059109479, -73.7172765169519, -73.7262095041088, -73.7268484504073, -73.7276199812525, -73.7279673649168, -73.7281623259969, -73.728364139082, -73.729905111023, -73.7316070805041, -73.7307268136149, -73.732819249103, -73.7329109637274, -73.7319325709002, -73.7311664538948, 
-73.7354464993897, -73.7348104438228, -73.7345283653234, -73.7337729841358, -73.7356758191865, -73.7416868142448, -73.7391559027536, -73.7379355793686, -73.7337734219063, -73.7312454030116, -73.7300508313049, -73.7291292962676, -73.728276331384, -73.7276394982119, -73.7269038337766, -73.7242148710979, -73.7230454722311, -73.7227044714412, 40.7537337143834, 40.7533584708149, 40.7523218922456, 40.751173028173, 40.7489452364315, 40.7463149905743, 40.7396291491563, 40.7378293680411, 40.7325014196397, 
40.7305931312194, 40.7273686697277, 40.7266441594981, 40.7258015114208, 40.7254628718624, 40.723098592274, 40.7224964540875, 40.7222543687358, 40.7231552724161, 40.7230841645573, 40.7236143752139, 40.723272516554, 40.7277690383935, 40.7302670942081, 40.7304187455351, 40.7309523598303, 40.7309236715848, 40.7326813420106, 40.7334616300855, 40.7351632002287, 40.7354430579834, 40.7388993036277, 40.7381280797211, 40.7368234011531, 40.739776817517, 40.7406216776276, 40.7428644152526, 40.7448816264246, 
40.7462059821941, 40.7476056255959, 40.749913866184, 40.7509212694965, 40.7516770494108, 40.7533316859009, 40.7542998388858, 40.7537337143834))"
5,11365,Fresh Meadows,NY,Queens,36,081,0,38693.5656755,69385865.5943,http://nyc.pediacities.com/Resource/PostalCode/11365,"list(c(-73.8108863474475, -73.8111563809354, -73.8108785773719, -73.8103928360316, -73.8149723143008, -73.8150962962076, -73.8132083939493, -73.8103551192008, -73.8101326119041, -73.8143088437405, -73.8138954856628, -73.8136736120338, -73.8141617043293, -73.8075059816449, -73.8028780059629, -73.8028109438988, -73.7980248720575, -73.7979792687436, -73.7964461683404, -73.7948103071554, -73.7948155980844, -73.7923078015693, -73.7922982792594, -73.7798063864634, -73.7755961969901, -73.7744096501358, 
-73.7728613033638, -73.7795230300659, -73.7883446836156, -73.8004131591045, -73.8108863474475, 40.7271718757592, 40.7283054434788, 40.7304407611191, 40.7383281125681, 40.7385724735496, 40.7392337627355, 40.7389866807971, 40.7388713863989, 40.7422950820698, 40.7429737987062, 40.7441839619777, 40.7455558847995, 40.7461386017966, 40.75013661137, 40.7497834230939, 40.749085480094, 40.7487118822742, 40.7489830768853, 40.7498592425012, 40.7486472424813, 40.748421814975, 40.7483284193629, 40.7484704430322, 
40.7518950301779, 40.7431889042694, 40.7404822736944, 40.7362759320353, 40.7342810505779, 40.7313187902407, 40.7283721818527, 40.7271718757592))"
6,11373,Elmhurst,NY,Queens,36,081,0,33755.870988,42659399.8982,http://nyc.pediacities.com/Resource/PostalCode/11373,"list(c(-73.8872209846716, -73.887228203466, -73.8875196414726, -73.887559614525, -73.8880597492178, -73.8885229858043, -73.8893843637854, -73.8913853179098, -73.8886910973211, -73.8901380941728, -73.8897416314594, -73.8896632201157, -73.8901771913331, -73.8902761835967, -73.8903991785681, -73.8914312997727, -73.8694245728418, -73.8685591198213, -73.8674711366146, -73.8675227604955, -73.8664801045627, -73.8655485056138, -73.8649297001767, -73.8658228294402, -73.8645119895648, -73.8682209603821, -73.8678614644878, 
-73.868665580792, -73.8699276220691, -73.8715037432334, -73.8714118417038, -73.871605665784, -73.874214296128, -73.8740460157219, -73.874509663719, -73.8769520659691, -73.8795050698512, -73.8810930058931, -73.8852061726085, -73.8872209846716, 40.7275261876613, 40.7289332236557, 40.7300757786443, 40.7301970739521, 40.7300872434506, 40.7345309606392, 40.7358565816505, 40.7360085037687, 40.7365525622991, 40.7391903958417, 40.7391150433546, 40.7396617423297, 40.7403671611303, 40.7407582866252, 40.7407474787787, 
40.7468446604193, 40.7491568709679, 40.7477223404083, 40.7432134967372, 40.7407711415372, 40.7382109889769, 40.7384257561128, 40.7368948517565, 40.7366298090078, 40.7340716484178, 40.7328597528403, 40.7326974797624, 40.7322153323155, 40.7303431110355, 40.7295666468267, 40.7291589393959, 40.7291120590295, 40.7300612520932, 40.7303640715495, 40.7306186988052, 40.7298333439037, 40.7287839875638, 40.7284925854908, 40.7281015258984, 40.7275261876613))"
7,11001,Floral Park,NY,Queens,36,081,0,13594.9245493,9155180.26263,http://nyc.pediacities.com/Resource/PostalCode/11001,"list(c(-73.7009827862555, -73.6996045181533, -73.6998845779538, -73.7008554367864, -73.7065543375437, -73.7090558676262, -73.7104787701395, -73.7107482581903, -73.7114780374036, -73.7137103324691, -73.7009827862555, 40.7388956992303, 40.739594699566, 40.7383741796718, 40.7358760129354, 40.7274650055279, 40.7266441594981, 40.7273329200212, 40.7305931312194, 40.7325014196397, 40.7361747048655, 40.7388956992303))"
8,11375,Forest Hills,NY,Queens,36,081,0,36277.0768394,55587771.835,http://nyc.pediacities.com/Resource/PostalCode/11375,"list(c(-73.8562474640478, -73.8520475728521, -73.8518276243295, -73.8513390566574, -73.850038212459, -73.8455765284289, -73.8449932232476, -73.8441420969459, -73.8426637534599, -73.8404765338379, -73.8391782750432, -73.8368309631095, -73.8349526347774, -73.8326513046687, -73.8313016025934, -73.8298258205248, -73.8270305118996, -73.826059565848, -73.8307905044656, -73.831107161793, -73.8316123830238, -73.8361147573472, -73.8359007215842, -73.8367945488791, -73.8375531977024, -73.8397772712991, -73.8429530992784, 
-73.8448451518333, -73.8489940810061, -73.8502097449815, -73.8510830370512, -73.8528170570701, -73.856183012107, -73.8566737127407, -73.8582967939015, -73.8566522182222, -73.8572681610865, -73.8539545710824, -73.853486850262, -73.8517776618622, -73.8516693136364, -73.8540108719269, -73.8543440006396, -73.85470034727, -73.8564480269758, -73.8562474640478, 40.7367227854824, 40.7376820724951, 40.7372630801107, 40.7374012350904, 40.7378061858945, 40.739853792742, 40.7357592486962, 40.733731516275, 40.731631438282, 
40.7296547643615, 40.7280441124345, 40.7236029363792, 40.7210398766624, 40.7185158278514, 40.7173757094979, 40.7167439987713, 40.7159661734418, 40.7153986027705, 40.71419918263, 40.7143679767479, 40.714213500974, 40.711825159427, 40.7116413904493, 40.7107804926042, 40.7107149205575, 40.7098806033986, 40.7083810700381, 40.7080742116014, 40.7078894876748, 40.7075315184667, 40.707007357369, 40.707378113352, 40.7063187330063, 40.70745383049, 40.7196061063076, 40.7198688935877, 40.7215039248052, 40.7267525927369, 
40.7271821163996, 40.7276971710915, 40.7283458193293, 40.7326547610437, 40.7329701387546, 40.7328293665536, 40.7362535697594, 40.7367227854824))"
9,11427,Queens Village,NY,Queens,36,081,0,31231.9685929,39568339.2748,http://nyc.pediacities.com/Resource/PostalCode/11427,"list(c(-73.7416868142448, -73.7356758191865, -73.7337729841358, -73.7345283653234, -73.7348104438228, -73.7354464993897, -73.7311664538948, -73.7319325709002, -73.7329168425566, -73.7327750113752, -73.7307268136149, -73.7312351300842, -73.7330642416561, -73.7336172722362, -73.7384017392383, -73.7385674270549, -73.7473907917925, -73.7486693853785, -73.7518678908499, -73.7572567091069, -73.7604863749355, -73.7616238938756, -73.7646584200045, -73.7653624255083, -73.7701067859653, -73.7477180097186, 
-73.7416868142448, 40.7368234011531, 40.7381280797211, 40.7388993036277, 40.7354430579834, 40.7351632002287, 40.7334616300855, 40.7326813420106, 40.7309236715848, 40.7308831942893, 40.7303332715827, 40.7302670942081, 40.7289473898024, 40.72935848096, 40.7279335870809, 40.7290115458486, 40.7286150410069, 40.7231933757994, 40.7225764453128, 40.7204635974506, 40.7181386261327, 40.7222432705785, 40.7230467472461, 40.7245718626706, 40.7251617419819, 40.7317792084885, 40.7355643245374, 40.7368234011531
))"
10,11374,Rego Park,NY,Queens,36,081,0,26323.9943926,25203458.8689,http://nyc.pediacities.com/Resource/PostalCode/11374,"list(c(-73.8645119895648, -73.8587236016422, -73.8588166143311, -73.8562474640478, -73.8564480269758, -73.85470034727, -73.8543440006396, -73.8540108719269, -73.8516726521974, -73.8517776618622, -73.853486850262, -73.8539545710824, -73.8572681610865, -73.8566522182222, -73.8582967939015, -73.8572791904191, -73.8620787137159, -73.8596610863044, -73.8596847010649, -73.8599336004507, -73.864122963585, -73.8692926917403, -73.8710184216402, -73.8718154036568, -73.8732421022406, -73.8714118417038, -73.8715037432334, 
-73.8698684542429, -73.868665580792, -73.8678614644878, -73.8682209603821, -73.8645119895648, 40.7340716484178, 40.7357974692175, 40.7359512839528, 40.7367227854824, 40.7362535697594, 40.7328293665536, 40.7329701387546, 40.7326547610437, 40.7283897505072, 40.7276971710915, 40.7271821163996, 40.7267525927369, 40.7215039248052, 40.7198688935877, 40.7196061063076, 40.7114605022009, 40.7122010792267, 40.7133893911775, 40.7141308670158, 40.714796898484, 40.7188448273278, 40.7244359490589, 40.727978974023, 
40.7267938439977, 40.7279117286639, 40.7291589393959, 40.7295666468267, 40.7303959022882, 40.7322153323155, 40.7326974797624, 40.7328597528403, 40.7340716484178))"
